Game ID,Win,Word,Guesses,Strategy Mode,Pattern Progression,Strategy Log
aef80cc65c6c,❌,_ _ _ _ _ ,"i, e, a, o, n, t, l, r",,,
67168e1cc20b,❌,_ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, s, n, r, m, c, o",,,
72ab97c0be05,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, r, d, c, l, f, b, s, p, m",,,
9efeb4dc95f0,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, m, v, d, s, r, l, a, g, o, w",,,
754669d97b0b,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, n, r, t, a, v, s, d, p, h, z, m",,,
fd75ee556287,❌,_ _ _ _ ,"i, e, a, o, s, t, n, r",,,
3ac4c5eef587,❌,_ _ _ _ _ _ _ ,"i, e, a, t, r, l, n, d",,,
aa6ceba23f01,❌,_ _ _ _ _ _ ,"i, e, n, r, t, v, p, d, a",,,
6185386415de,❌,_ _ _ _ _ _ ,"i, e, a, t, r, o, u, n, b, c, l",,,
5f70fb19c212,❌,_ _ _ _ _ _ ,"i, e, r, n, t, l, o, p",,,
bd8c7a50da7c,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, r, t, n, v, s, d, a, p",,,
6efd4124c7dd,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, r, m, t, n, h, d, c, l, g, o",,,
69161b00531e,❌,_ _ _ _ _ ,"i, e, a, n, t, g, l, d, r, m",,,
d1dd45fac0e2,❌,_ _ _ _ _ _ ,"i, e, n, t, m, r, l, s, h, a",,,
c2495af9c557,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, c, d, m",,,
d8c90d9bb3ce,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, r, t, v, p, n, s, d, a, g, o, m, h, l, b",,,
5b9f5e036d52,❌,_ _ _ _ _ _ ,"i, e, a, r, t, c, d, l, m",,,
2713dc9637b4,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, t, r, h, l, n, o, s, c, k",,,
92a58e54d76f,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, t, r, h, l, u, c, f, p",,,
8326c29d414c,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, n, s, c, p, m",,,
08d6aeeaa879,❌,_ _ _ _ _ ,"i, e, a, r, t, s, n, c, u",,,
2b8c253db09e,❌,_ _ _ _ _ ,"i, e, n, t, d, c, s, o, a",,,
61d345b68ad0,❌,_ _ _ _ _ _ _ ,"i, e, n, r, t, v, p, s",,,
394189d3499b,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, o, n, c, r, d, s, v, m, u, b, p, g, l",,,
9799d3184924,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, n, v, d, s, z, l, a, c, o, r, m",,,
d7d515cb23fc,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, n, l, v",,,
b7c2f315fd9a,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, p, n, c, s, m, b",,,
668c8002b897,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, r, t, n, s, a, c, l, d, v, p, z, u",,,
781bb1de9570,❌,_ _ _ _ _ _ _ _ ,"i, e, a, r, t, n, o, l, m, g",,,
8ba970de3133,❌,_ _ _ _ ,"i, e, a, r, n, l, t, m, g",,,
997b4834a905,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, n, o, c, l, r, s, h, m",,,
12af9d308efd,❌,_ _ _ _ _ ,"i, e, a, o, r, t, c, l, u, g",,,
7dd9115ee502,❌,_ _ _ _ _ _ _ ,"i, n, t, r, l, s, m, d, h, c",,,
e54e0287f1b8,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, n, v, r, a, o, s, t, d, c, u, p",,,
29657e80c23a,❌,_ _ _ _ _ _ _ ,"i, e, n, s, t, l, d, r",,,
5a55b027ab40,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, r, c, p, d, t, h, l, u, s",,,
498fe18926c1,❌,_ _ _ _ _ _ _ _ ,"i, e, a, o, n, t, c, r, h, s, k, l, d",,,
131af34c55f2,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, r, t, a, c, n, m, s, l, h",,,
faa054f38955,❌,_ _ _ _ _ _ _ ,"i, e, a, t, l, r, n, s, h, m",,,
4f14046a41c1,❌,_ _ _ _ _ _ _ _ ,"i, e, a, o, n, m, r, t, p, s, u, g",,,
ef01c95940fc,❌,_ _ _ _ _ _ _ ,"i, e, a, r, t, n, b, c, p",,,
a6842379c910,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, t, l, r, n, h, c, a, s, e, o, m, d, b",,,
aeb8e9ffdb9d,❌,_ _ _ _ _ _ _ _ ,"i, e, a, t, o, r, s, n, l, m, h",,,
ed52fe1e6f0d,❌,_ _ _ _ _ _ _ _ _ _ ,"i, t, l, n, g, b, v, a, r, h, p",,,
321a8f35bcd7,❌,_ _ _ _ _ _ _ _ _ ,"i, e, r, m, n, a, t, g, h, o, y, s",,,
53f4f41acec8,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, n, s, u, p, m, d",,,
6bd5af731501,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, r, m, l, n, t, s, o, a, p, b",,,
61098d606d86,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, n, o, c, l, s, r, m, d, v",,,
e76a232312e9,❌,_ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, n, r, t, l, c, s, g",,,
354e714f8dde,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, r, n, t, d, l, c, m, s, a, f",,,
ee475427f5d9,❌,_ _ _ _ _ _ _ _ _ ,"i, e, a, t, l, r, n, o, s, c",,,
db74a706d965,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, n, t, l, r, h, m, u, s, d, c, g",,,
1d454ae85198,❌,_ _ _ _ _ _ _ ,"i, e, a, o, r, t, p, u, c",,,
1323a9a8fa33,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, e, r, t, v, p, d, n, h, a, s, c",,,
54b88fa9b2d4,❌,_ _ _ _ _ _ _ _ ,"i, e, n, h, g, t, r, o, a, s, b, l, m",,,
b2979d8f2f4a,❌,_ _ _ _ _ _ _ _ ,"i, e, a, t, o, r, n",,,
5bf93fd28fa6,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, t, n, l, c, s, o, k, z, r",,,
c2f25f1b537a,❌,_ _ _ _ ,"i, e, a, o, u, y, s, d",,,
8badd38e3801,❌,_ _ _ _ _ _ _ _ ,"i, e, r, m, l, t, n, a, o, v, p",,,
3f895706ab25,❌,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ,"i, t, l, n, r, a, h, o, b, p, s, c, u",,,
ab2304ccdad0,❌,_ _ _ _ _ _ _ _ ,"i, e, a, t, n, r, l, s, h",,,
5f0a4eff21fd,❌,_ _ _ _ _ _ _ _ _ _ _ ,"i, e, a, o, t, r, n, h, l, u, p, c",,,
